region_name,region_kr_name,continent,iso_country
Canillo Parish,카닐료 교구,EU,AD
Encamp Parish,엔캠프 교구,EU,AD
La Massana Parish,라마사나 교구,EU,AD
Ordino Parish,오르디노 교구,EU,AD
Andorra la Vella Parish,안도라라베야 교구,EU,AD
Escaldes-Engordany Parish,에스칼데스-엥고르다니 교구,EU,AD
Umm al-Quwain Emirate,움 알 쿠와인 토후국,AS,AE
Balkh Province,발흐 주,AS,AF
Bamiyan Province,바미안 주,AS,AF
Badghis Province,바드기스주,AS,AF
Badakhshan Province,바다흐샨 주,AS,AF
Baghlan Province,바글란주,AS,AF
Daykundi Province,다이쿤디 주,AS,AF
Farah Province,파라주,AS,AF
Faryab Province,파리얍 주,AS,AF
Ghazni Province,가즈니 주,AS,AF
Helmand Province,헬만드 주,AS,AF
Herat Province,헤라트주,AS,AF
Jowzjan Province,조우즈잔 주,AS,AF
Kabul Province,카불 주,AS,AF
Kandahar Province,칸다하르주,AS,AF
Kapisa Province,카피사 주,AS,AF
Kunduz Province,쿤두즈 주,AS,AF
Khost Province,코스트 주,AS,AF
Laghman Province,라그만주,AS,AF
Logar Province,로가 주,AS,AF
Nangarhar Province,낭가르하르주,AS,AF
Nimruz Province,님루즈 주,AS,AF
Nurestan Province,누레스탄 주,AS,AF
Panjshir Province,판시르 주,AS,AF
Parwan Province,파르완 주,AS,AF
Paktia Province,팍티아 주,AS,AF
Paktika Province,팍티카 주,AS,AF
Samangan Province,사만간 주,AS,AF
Sar-e Pol Province,사르에 폴 주,AS,AF
Takhar Province,타카르 주,AS,AF
Wardak Province,와르닥 주,AS,AF
Zabul Province,자불 주,AS,AF
Saint George Parish,세인트 조지 교구,NA,AG
Saint John Parish,세인트 존 교구,NA,AG
Saint Mary Parish,세인트 메리 교구,NA,AG
Saint Paul Parish,세인트 폴 교구,NA,AG
Saint Peter Parish,성 베드로 교구,NA,AG
Saint Philip Parish,세인트 필립 교구,NA,AG
Barbuda Dependency,바부다 의존성,NA,AG
Redonda Dependency,레돈다 의존성,NA,AG
Redonda,레돈다,NA,AG
Berat County,베라트 카운티,EU,AL
Elbasan County,엘바산 카운티,EU,AL
Fier County,피어 카운티,EU,AL
Tirana County,티라나 카운티,EU,AL
Bengo Province,벤고주,AF,AO
Benguela Province,벵겔라주,AF,AO
Cabinda Province,카빈다 주,AF,AO
Cuando Cubango Province,쿠안도쿠방고주,AF,AO
Cunene Province,쿠네네 주,AF,AO
Cuanza Norte Province,쿠안자 노르테 주,AF,AO
Cuanza Sul Province,쿠안자 술 주,AF,AO
Huambo Province,Huambo 지방,AF,AO
Lunda Norte Province,룬다노르테주,AF,AO
Lunda Sul Province,룬다 술 주,AF,AO
Luanda Province,루안다 주,AF,AO
Moxico Province,목시코 주,AF,AO
Zaire Province,자이르 주,AF,AO
Salta Province,살타 주,SA,AR
Buenos Aires Province,부에노스아이레스 주,SA,AR
Buenos Aires (Autonomous City),부에노스아이레스(자치시),SA,AR
La Rioja Province,라리오하 주,SA,AR
Chaco Province,차코 주,SA,AR
La Pampa Province,라팜파 주,SA,AR
Misiones Province,미시오네스 주,SA,AR
Formosa Province,포모사 주,SA,AR
Tierra del Fuego Province,티에라델푸에고 주,SA,AR
Santa Cruz Province,산타 크루즈 주,SA,AR
Eastern District,동부지구,OC,AS
Western District,서부지구,OC,AS
Burgenland,부르겐란트,EU,AT
Salzburg,잘츠부르크,EU,AT
Vorarlberg,포어아를베르크,EU,AT
Australian Antarctic Territory,호주 남극 영토,OC,AU
Australian Capital Territory,호주 수도 특별구,OC,AU
New South Wales,뉴 사우스 웨일즈,OC,AU
Northern Territory,노던 테리토리,OC,AU
Queensland,퀸즈랜드,OC,AU
South Australia,남호주,OC,AU
Tasmania,태즈메이니아,OC,AU
Victoria,빅토리아,OC,AU
Western Australia,웨스턴 오스트레일리아,OC,AU
Ali Bayramli District,알리 바이람리 지구,AS,AZ
Abseron District,압세론 지구,AS,AZ
Agstafa District,아그스타파 지구,AS,AZ
Agjabadi District,아그자바디 지구,AS,AZ
Agdam District,아그담 지구,AS,AZ
Agdash District,아그다시 지구,AS,AZ
Agsu District,아수구,AS,AZ
Astara District,아스타라 지구,AS,AZ
Baku (city),바쿠(도시),AS,AZ
Babak District,바박 지구,AS,AZ
Balakan District,발라칸 지구,AS,AZ
Barda District,바르다 지구,AS,AZ
Beylagan District,베일라간 지구,AS,AZ
Bilasuvar District,빌라수바르 지구,AS,AZ
Cabrayll District,카브레이 지구,AS,AZ
Calilabad District,칼리라바드 지구,AS,AZ
Culfa District,컬파 지구,AS,AZ
Daskasan District,다스카산 지구,AS,AZ
Davaci District,다바치 지구,AS,AZ
Fuzuli District,푸줄리 지구,AS,AZ
Gadabay District,가다베이 지구,AS,AZ
Goranboy District,고란보이 지구,AS,AZ
Goychay District,고이차이 지구,AS,AZ
Hajigabul District,하지가불지구,AS,AZ
Imisli District,이미슬리 지구,AS,AZ
Ismayilli District,이스마일리 지구,AS,AZ
Kalbacar District,칼바카르 지구,AS,AZ
Kurdamir District,쿠르다미르 지구,AS,AZ
Lankaran District,란카란 지구,AS,AZ
Lacin District,라신 지구,AS,AZ
Lerik District,레릭 지구,AS,AZ
Masally District,마살리 지구,AS,AZ
Mingacevir District,밍가체비르 지구,AS,AZ
Naftalan District,나프탈란 지구,AS,AZ
Neftcala District,네프트칼라 지구,AS,AZ
Nakhchivan Autonomous Republic,나히치반 자치공화국,AS,AZ
Oguz District,오구즈 지구,AS,AZ
Ordubad District,오르두바드 지구,AS,AZ
Qabala District,카발라 지구,AS,AZ
Qax District,콰스 지구,AS,AZ
Qazax District,카작스 지구,AS,AZ
Quba District,쿠바 지구,AS,AZ
Qubadli District,쿠바들리 지구,AS,AZ
